ID,price,countofbedrooms,countofbathrooms,size,minimumtosubway,buildingage,haswasher,haselevator,hasdishwasher,hasgym
52,3500,0.0,1,525,5,105,1,1,0,1
54,3375,2.0,1,800,6,106,1,0,1,0
79,6000,2.0,2,1200,9,105,1,0,0,0
84,5595,2.0,2,1170,4,85,1,1,1,1
137,3500,2.0,2,1050,5,96,1,0,1,0
144,3300,1.0,1,725,4,91,1,1,1,0
178,4000,1.0,1,700,3,62,1,1,0,0
191,3950,1.0,1,750,2,106,1,1,0,0
210,4050,1.0,1,834,2,58,1,1,1,0
241,6000,1.0,1,923,1,51,1,0,0,0
263,2495,0.5,1,500,6,96,1,1,1,1
268,1950,0.0,1,400,6,75,1,0,0,0
294,4200,1.0,1,800,2,106,1,1,1,1
322,1800,1.0,1,670,4,116,1,1,1,1
345,5000,2.0,2,1000,2,116,1,0,1,0
348,4575,0.0,1,853,3,52,1,1,1,0
354,15000,2.0,3,2800,6,109,1,0,0,0
374,10995,4.0,3,2200,4,90,1,0,0,0
427,2200,0.0,1,400,8,86,1,1,1,0
437,2595,1.0,1,600,7,106,1,1,1,1
443,4950,2.0,1,900,5,116,1,1,0,0
447,4500,2.0,1,900,3,116,1,1,0,0
456,2485,0.0,1,550,8,55,1,1,1,0
498,4506,2.0,1,1134,2,85,1,1,1,1
499,4000,1.0,1,550,2,89,1,1,1,1
539,6650,2.0,2,1171,3,61,1,1,0,0
559,2495,1.0,1,600,3,76,1,0,1,0
585,3800,1.0,1,900,2,52,1,1,1,1
586,3410,1.0,1,850,3,66,1,1,1,1
598,3800,1.0,1,800,5,104,1,1,1,0
600,9995,2.0,2,1554,3,89,1,1,1,1
601,5995,2.0,1,1200,4,90,1,0,1,0
665,2800,1.0,1,670,3,106,1,1,1,1
670,15900,2.0,2,1591,2,56,1,1,0,0
676,1895,0.0,1,400,1,89,1,1,1,1
685,5250,2.0,1,1200,3,88,1,1,1,0
723,3850,1.0,1,770,6,59,1,1,1,0
732,6500,2.0,2,1500,1,90,1,1,0,1
752,3600,2.0,2,1200,2,105,1,0,1,0
755,12000,3.5,2,1600,1,105,1,1,0,0
781,3300,1.0,1,694,0,87,1,1,1,0
782,7000,3.0,2,1394,10,53,1,1,1,0
805,4846,2.0,1,805,9,86,1,1,0,0
826,3900,2.0,1,1000,2,115,1,0,0,0
827,3285,1.0,1,586,2,99,1,1,1,0
828,2850,0.0,1,500,6,59,1,0,0,0
837,5500,1.0,1,925,3,101,1,1,1,1
854,3500,1.0,1,678,5,85,1,1,1,0
857,3750,1.0,1,679,3,86,1,1,0,1
864,3600,1.0,1,775,4,85,1,1,0,1
870,3600,2.0,1,700,2,86,1,0,0,0
915,2750,0.0,1,595,1,76,1,1,1,1
940,6800,1.0,2,1233,3,52,1,1,0,1
971,1700,0.0,1,350,9,96,1,0,1,0
989,6000,1.0,1,945,5,84,1,1,0,0
1010,2450,2.0,1,900,9,96,1,1,1,1
1021,2299,1.0,1,700,3,86,1,1,0,0
1067,2600,0.0,1,441,7,60,1,0,0,0
1073,11900,3.0,2,2305,1,102,1,0,0,0
1084,4000,0.0,1,500,1,76,1,0,1,0
1104,2195,1.0,1,500,6,106,1,1,1,1
1117,2150,0.0,1,450,3,106,1,0,0,0
1119,3000,1.0,1,667,4,88,1,0,0,0
1132,3200,2.0,1,900,3,116,1,1,0,1
1168,2595,1.0,1,600,1,116,1,0,1,0
1213,3712,1.0,2,1201,11,108,1,1,1,1
1222,7995,2.0,2,1300,2,56,1,1,1,1
1235,3500,1.0,1,530,2,55,1,1,1,1
1246,3810,1.0,1,708,3,71,1,1,1,1
1257,10200,1.0,2,1881,3,52,1,1,1,1
1259,4600,1.0,1,900,3,78,1,1,0,1
1286,11995,3.0,2,1951,1,86,1,1,1,0
1296,5400,1.0,1,1000,6,116,1,1,1,1
1299,3625,1.0,1,650,1,51,1,0,0,0
1368,2745,0.0,2,342,2,89,1,1,1,1
1384,7150,2.0,2,1295,4,92,1,1,0,0
1407,2800,0.0,1,518,6,60,1,1,0,1
1419,4050,2.0,1,887,5,86,1,0,0,0
1422,9000,2.0,2,1736,3,101,1,0,1,0
1435,3800,1.0,1,700,5,96,1,0,0,0
1454,11000,4.0,3,2095,5,94,1,1,0,0
1457,2995,2.0,1,800,2,86,1,1,1,1
1465,2390,0.0,1,490,4,86,1,1,1,1
1476,2100,0.5,1,575,3,116,1,1,1,1
1494,5995,1.0,1,1069,7,116,1,1,0,1
1509,1795,1.0,1,750,2,67,1,1,1,1
1521,6500,2.0,1,1700,4,116,1,1,1,1
1523,15000,3.0,1,2100,2,85,1,1,1,1
1534,4500,1.0,0,900,5,80,1,1,0,0
1540,3150,1.0,1,700,3,92,1,1,1,1
1547,2995,2.0,1,900,7,106,1,1,1,1
1554,14000,3.0,2,2000,8,117,1,0,1,0
1557,4995,1.0,1,600,5,96,1,0,0,0
1569,2695,0.0,1,650,1,116,1,1,1,1
1600,8000,0.0,2,2200,2,101,1,0,0,0
1630,4550,0.0,1,747,3,52,1,1,1,1
1635,11000,2.0,3,1607,5,88,1,1,1,1
1639,5395,3.0,1,1200,7,116,1,1,0,1
1651,3895,1.0,1,693,2,106,1,1,0,1
1673,2450,0.0,1,450,2,104,1,1,0,1
1675,2300,0.0,1,511,15,65,1,0,0,0
1701,2550,1.0,1,716,5,96,1,1,1,1
1824,3600,2.0,1,900,1,87,1,1,1,0
1829,3500,3.0,2,1800,5,101,1,1,0,0
1832,3525,1.0,0,950,5,81,1,1,1,0
1840,3500,1.0,1,675,6,92,1,0,1,0
1841,4600,1.0,1,800,1,108,1,1,0,1
1852,2995,1.0,1,653,0,75,1,1,1,1
1854,10000,2.0,2,1548,3,106,1,0,1,0
1876,3250,1.0,1,600,2,89,1,1,1,1
1879,16500,3.0,3,2013,2,92,1,1,0,1
1911,4400,1.0,1,812,3,94,1,1,1,1
1964,2950,1.0,1,775,4,87,1,1,1,1
1979,3675,1.0,1,850,4,76,1,0,1,1
2021,2400,0.0,1,550,4,74,1,1,1,1
2040,4700,2.0,2,1000,4,89,1,1,1,0
2044,3850,1.0,1,800,9,86,1,0,1,0
2047,6150,2.0,2,1368,7,53,1,0,0,0
2049,2255,0.0,1,408,2,99,1,1,0,1
2052,3425,1.0,1,800,3,89,1,1,1,1
2068,3100,1.0,1,764,0,87,1,1,1,1
