average_price,average_dimension,buildingage
20000.0,2200.0,5
5247.5,793.25,6
5031.66666666667,752.666666666667,7
5086.66666666667,977.416666666667,8
5387.94117647059,1001.94117647059,9
7469.58333333333,1346.66666666667,10
9285.0,1447.9,11
7220.0,1034.0,12
3449.0,446.5,13
3433.75,658.75,14
3675.0,661.5,15
4572.6,649.6,16
5635.0,1097.66666666667,17
5762.33333333333,1106.33333333333,18
4450.0,774.5,19
2650.0,435.0,25
3050.0,684.0,26
3350.0,659.0,27
3565.83333333333,594.0,28
6645.0,726.833333333333,29
4463.63636363636,852.727272727273,30
4351.0,789.1,31
4397.5,925.0,32
5466.66666666667,1093.0,34
3196.66666666667,577.0,37
6500.0,1400.0,41
3247.5,687.5,42
4915.0,753.0,44
9887.5,1367.5,47
2850.0,627.5,50
2560.0,531.5,51
5640.83333333333,1097.5,52
2950.0,637.5,53
3500.0,530.0,55
13265.0,1499.66666666667,56
4299.0,925.0,57
9500.0,1430.0,58
2800.0,518.0,60
9528.0,2144.0,65
4271.66666666667,1200.0,66
1795.0,750.0,67
3810.0,708.0,71
2400.0,550.0,74
2995.0,653.0,75
2750.0,595.0,76
4600.0,900.0,78
4600.0,1100.0,81
6460.2,1195.8,85
4550.66666666667,1003.33333333333,86
2966.66666666667,719.0,87
7800.0,1326.0,88
4860.625,803.25,89
4862.5,1092.0,90
8797.5,1357.5,91
9825.0,1356.5,92
4700.0,1000.0,93
4300.0,792.0,94
3748.75,716.5,96
2255.0,408.0,99
4544.5,944.5,101
2450.0,450.0,104
3247.5,570.5,105
3109.2,650.7,106
4156.0,1000.5,108
8200.0,1220.0,109
8247.5,1420.0,110
2850.0,565.0,114
4284.90909090909,986.454545454546,116
10500.0,1926.0,122
8745.0,1499.0,180
